commodity,usda_fdc_id,usda_description,category
PHYSALIS/CAPE GOOSEBERRY/GROUND CHERRY,173043,"Groundcherries, (cape-gooseberries or poha), raw",fruit
PINE NUTS (PIGNOLI),170591,"Nuts, pine nuts, dried",nut
PINEAPPLE,168193,"Pineapple, raw, traditional varieties",fruit
PISTACHIO,170184,"Nuts, pistachio nuts, raw",nut
PITAHAYA,,"Not found in SR Legacy",fruit
PLUMS,169949,"Plums, raw",fruit
POMEGRANATE,169134,"Pomegranates, raw",fruit
POTATO,170032,"Potatoes, raw, skin",vegetable
PRUNES,167751,"Plums, dried (prunes), stewed, without added sugar",fruit
PUMPKIN,168448,"Pumpkin, raw",vegetable
QUINCE,168163,"Quinces, raw",fruit
RADICCHIO,168564,"Radicchio, raw",vegetable
RADISH,169276,"Radishes, raw",vegetable
RAMBUTAN,168167,"Rambutan, canned, syrup pack",fruit
RHUBARB,167758,"Rhubarb, raw",vegetable
ROSEMARY,173473,"Rosemary, fresh",herb
RUTABAGAS (SWEDE),168454,"Rutabagas, raw",vegetable
SAGE,170935,"Spices, sage, ground",herb
SAPODILLO/NISPERO,167759,"Sapodilla, raw",fruit
SAPOTE,167760,"Sapote, mamey, raw",fruit
SAVORY,170936,"Spices, savory, ground",herb
SOURSOP,167761,"Soursop, raw",fruit
SPINACH,168440,"New Zealand spinach, raw",vegetable
SQUASH,168565,"Squash, zucchini, baby, raw",vegetable
SUGAR APPLE,168175,"Sugar-apples, (sweetsop), raw",fruit
SUNCHOKES (JERUSALEM ARTICHOKES),169236,"Jerusalem-artichokes, raw",vegetable
SUNFLOWER SEEDS,168593,"Seeds, sunflower seed kernels, oil roasted, with salt added",nut
SWEET POTATO/YAM/KUMARA,168482,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",vegetable
TAMARIND,167763,"Tamarinds, raw",fruit
TANGELO,169105,"Tangerines, (mandarin oranges), raw",fruit
TANGERINES/MANDARINS,169105,"Tangerines, (mandarin oranges), raw",fruit
TARO ROOT (DASHEEN),169308,"Taro, raw",vegetable
THYME,173470,"Thyme, fresh",herb
TOMATOES,170457,"Tomatoes, red, ripe, raw, year round average",vegetable
TURNIP,169818,"Prairie Turnips, raw (Northern Plains Indians)",vegetable
WALNUTS,170187,"Nuts, walnuts, english",nut
WATER CHESTNUTS,170066,"Waterchestnuts, chinese, (matai), raw",vegetable
WATERCRESS,170068,"Watercress, raw",vegetable
YUCA ROOT/CASSAVA/MANIOC,169985,"Cassava, raw",vegetable
