"id","Plu","Type","Category","Commodity","Variety","Size","Measures_na","Measures_row","Restrictions","Botanical","Aka","Status","Link","Notes","Updated_by","Updated_at","Created_at","Deleted_at","Language"
"482","3623","Global","Fruits","MELON","Hami","All Sizes","","","","Cucumis melo","Chinese Hami or Snow Melon","Approved","","","Vicki Bonvetti","2023-12-19 19:08:55","2011-10-23 22:00:00","","EN"
"483","3624","Global","Fruits","MELON","Korean","All Sizes ","","","","Cucumis melo","","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2011-10-23 22:00:00","","EN"
"484","3625","Global","Fruits","APPLES","Minnewashta","All Sizes","","","","Malus domestica","Zestar","Approved","","","Vicki Bonvetti","2023-12-19 19:08:55","2011-10-23 22:00:00","","EN"
"485","3626","Global","Fruits","LEMONS","Meyer","All Sizes","","","","Citrus limon","","Approved","","","Vicki Bonvetti","2023-12-19 19:08:55","2012-01-24 23:00:00","","EN"
"486","3627","Global","Fruits","APPLES","PremA17","  Large   ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2012-01-24 23:00:00","","EN"
"487","3628","Global","Fruits","APPLES","PremA280"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2012-01-24 23:00:00","","EN"
"488","3629","Global","Fruits","APPLES","CIVG198"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2012-01-24 23:00:00","","EN"
"489","3630","Global","Fruits","APPLES","Co-op 43","All Sizes","","","","Malus domestica","","Approved","","","Vicki Bonvetti","2023-12-19 19:08:55","2012-04-24 22:00:00","","EN"
"490","3631","Global","Vegetables","PUMPKIN","Pink","All Sizes ","22 to 25 lbs","","","Eucurbita maxima","Porcelain Doll Pumpkin","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2012-07-25 22:00:00","","EN"
"491","3632","Global","Fruits","TANGERINES/MANDARINS","Dekopon"," All Sizes  ","","","","Citrus reticulata siranui","Shiranui/Hallabong/Sumo Citrus® ","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2012-10-16 22:00:00","","EN"
"492","4011","Global","Fruits","BANANAS","Yellow (includes Cavendish)","All Sizes","","","","Musa spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN"
"493","4012","Global","Fruits","ORANGES","Navel","Large","56 size and larger","Average Fruit Dimensions = 84mm and above","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN"
"494","4013","Global","Fruits","ORANGES","Navel","Small","113 size and smaller","Average Fruit Dimensions = less than 66mm","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN"
"495","4014","Global","Fruits","ORANGES","Valencia","Small","100 size and smaller","Average Fruit Dimensions = less than 77mm","Restricted for items grown east of the Mississippi River in the U.S or east of the Ontario/Manitoba border in Canada.","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN"
"496","4014","Global","Fruits","ORANGES","Valencia","Small","113 size and smaller","Average Fruit Dimensions = less than 66mm","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN"
"497","4015","Global","Fruits","APPLES","Red Delicious"," Small ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN"
"498","4016","Global","Fruits","APPLES","Red Delicious"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN"
"499","4017","Global","Fruits","APPLES","Granny Smith"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN"
"500","4018","Global","Fruits","APPLES","Granny Smith"," Large ","88 size and larger","Average Fruit Weight = 205g and above","Restricted for items grown in all states east of Colorado, New Mexico, Wyoming and Montana in the U.S. and east of the Ontario/Manitoba border in Canada.","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN"
"501","4019","Global","Fruits","APPLES","McIntosh"," Large ","88 size and larger","Average Fruit Weight = 205g and above","Restricted for items grown in all states east of Colorado, New Mexico, Wyoming and Montana in the U.S. and east of the Ontario/Manitoba border in Canada.","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN"
"502","4020","Global","Fruits","APPLES","Golden Delicious"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN"
"503","4021","Global","Fruits","APPLES","Golden Delicious"," Small ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN"
"504","4022","Global","Fruits","GRAPES","White/Green Seedless - Peerlette Seedless/Thompson Seedless","All Sizes","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN"
"505","4023","Global","Fruits","GRAPES","Red Seedless - Flame/Ruby/Emperatriz","All Sizes","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN"
"506","4024","Global","Fruits","PEARS","Bartlett/Williams/WBC","Small","110 size and smaller","Average Fruit Weight =  less than 180g","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN"
"507","4025","Global","Fruits","PEARS","Anjou","Small","110 size and smaller","Average Fruit Weight =  less than 180g","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"508","4026","Global","Fruits","PEARS","Bosc/Beurre Bosc","Small","110 size and smaller","Average Fruit Weight =  less than 180g","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"509","4027","Global","Fruits","GRAPEFRUIT","Ruby/Red/Pink (includes Ray Ruby, Ruby, Ruby Red)","Small","40 size and smaller","","Restricted for items grown east of the Mississippi River in the U.S or east of the Ontario/Manitoba border in Canada.","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
